population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,Demographic ID
336997624.0,35.608,38.3,15.413,9.732,54225.446,1.2,229
100091.0,306.48,42.2,18.601,10.799,,,230
2501427940.0,,,,,,,231
3426260.0,19.751,35.6,14.655,10.361,20551.409,0.1,232
34081449.0,76.134,28.2,4.469,2.873,6253.104,,233
319136.0,22.662,23.1,4.394,2.62,2921.909,13.2,234
511.0,,,,,,,235
28199866.0,36.253,29.0,6.614,3.915,16745.022,,236
97468028.0,308.127,32.6,7.15,4.718,6171.884,2.0,237
11627.0,,,,,,,238
565581.0,,28.4,,1.38,,,239
7909295152.0,58.045,30.9,8.696,5.355,15469.207,10.0,240
32981641.0,53.508,20.3,2.922,1.583,1479.147,18.8,241
19473125.0,22.995,17.7,2.48,1.542,3689.251,57.5,242
15993524.0,42.729,19.6,2.822,1.882,1899.775,21.4,243
